campaign_id,stat_date,impressions,clicks,conversions,spend_daily,device_type
1,2025-01-01,12278,661,51,10202.75,Tablet
1,2025-01-02,12605,726,67,7705.43,Desktop
1,2025-01-03,6670,185,14,3333.21,Desktop
1,2025-01-04,8483,633,100,11210.62,Mobile
1,2025-01-05,14937,1096,200,11642.64,Mobile
1,2025-01-06,13506,829,163,14331.76,Mobile
1,2025-01-07,18740,1384,242,7544.67,Desktop
1,2025-01-08,9145,308,41,2306.25,Mobile
1,2025-01-09,9880,268,27,1770.61,Tablet
1,2025-01-10,7309,313,32,4864.11,Tablet
1,2025-01-11,14717,476,34,9363.11,Mobile
1,2025-01-12,11744,683,89,6590.62,Desktop
1,2025-01-13,9233,521,50,10162.61,Mobile
1,2025-01-14,13126,871,70,9057.37,Tablet
1,2025-01-15,12800,487,25,3083.05,Mobile
1,2025-01-16,12983,599,97,11595.41,Tablet
1,2025-01-17,13422,342,54,6551.59,Desktop
1,2025-01-18,16225,1116,201,17313.68,Mobile
1,2025-01-19,14933,614,43,11721.75,Desktop
1,2025-01-20,15845,1135,199,14323.12,Desktop
1,2025-01-21,15736,508,81,5929.26,Desktop
1,2025-01-22,18929,725,57,8920.95,Mobile
1,2025-01-23,18303,749,131,9666.92,Mobile
1,2025-01-24,9203,455,24,3179.43,Desktop
1,2025-01-25,7578,548,60,3185.17,Tablet
1,2025-01-26,11291,326,30,3692.98,Mobile
1,2025-01-27,9799,368,28,7116.15,Desktop
1,2025-01-28,19746,1506,180,17074.49,Desktop
1,2025-01-29,18009,950,89,5565.27,Mobile
1,2025-01-30,14294,743,146,5171.44,Mobile
2,2025-01-01,10462,314,53,6230.73,Tablet
2,2025-01-02,12319,901,154,8189.68,Desktop
2,2025-01-03,10802,692,123,13336.56,Tablet
2,2025-01-04,14963,688,106,11443.06,Tablet
2,2025-01-05,19663,652,115,11209.07,Desktop
2,2025-01-06,16116,465,36,2904.6,Mobile
2,2025-01-07,18561,1132,87,10006.31,Desktop
2,2025-01-08,10931,480,90,7966.42,Tablet
2,2025-01-09,9365,193,28,3764.84,Tablet
2,2025-01-10,9341,409,65,5159.37,Desktop
2,2025-01-11,18950,1162,230,18314.53,Mobile
2,2025-01-12,11099,263,19,3634.7,Desktop
2,2025-01-13,8394,399,50,7732.93,Mobile
2,2025-01-14,6467,236,39,2796.18,Tablet
2,2025-01-15,15571,864,83,13538.4,Mobile
2,2025-01-16,7109,380,28,3593.3,Mobile
2,2025-01-17,9207,530,69,7352.78,Mobile
2,2025-01-18,7901,212,16,2865.34,Tablet
2,2025-01-19,15313,944,145,11404.73,Tablet
2,2025-01-20,18613,937,120,9271.29,Mobile
2,2025-01-21,19040,620,51,9990.87,Mobile
2,2025-01-22,6371,248,30,2173.96,Tablet
2,2025-01-23,15863,1226,198,10717.59,Desktop
2,2025-01-24,16602,513,41,5092.22,Mobile
2,2025-01-25,18244,816,60,4766.69,Mobile
2,2025-01-26,13167,453,73,4210.01,Mobile
2,2025-01-27,12456,466,59,7602.3,Mobile
2,2025-01-28,8046,595,118,9844.29,Tablet
2,2025-01-29,18255,727,141,12707.2,Desktop
2,2025-01-30,6010,162,25,1103.19,Tablet
3,2025-01-01,8712,404,66,6501.97,Tablet
3,2025-01-02,13871,886,73,13003.61,Desktop
3,2025-01-03,13531,466,38,6232.01,Tablet
3,2025-01-04,14920,445,23,8452.29,Tablet
3,2025-01-05,15872,476,27,2834.15,Desktop
3,2025-01-06,10643,313,25,5124.5,Mobile
3,2025-01-07,12277,904,114,5702.04,Tablet
3,2025-01-08,16415,819,137,10903.24,Mobile
3,2025-01-09,18050,753,100,4517.68,Desktop
3,2025-01-10,15255,468,72,8322.88,Mobile
3,2025-01-11,10362,601,54,8424.53,Desktop
3,2025-01-12,6990,232,45,3371.04,Mobile
3,2025-01-13,8809,287,56,1652.05,Mobile
3,2025-01-14,12465,352,40,4079.64,Mobile
3,2025-01-15,11145,327,57,6134.64,Desktop
3,2025-01-16,10572,385,22,2609.03,Desktop
3,2025-01-17,17389,390,44,4533.3,Mobile
3,2025-01-18,11129,881,126,8378.75,Tablet
3,2025-01-19,11950,885,128,7779.7,Mobile
3,2025-01-20,12214,289,31,2800.48,Mobile
3,2025-01-21,6169,320,37,3655.06,Desktop
3,2025-01-22,6868,259,48,2015.64,Desktop
3,2025-01-23,6939,457,51,6607.77,Mobile
3,2025-01-24,8032,261,29,3773.69,Desktop
3,2025-01-25,11092,656,100,9927.14,Mobile
3,2025-01-26,12601,585,108,8824.89,Desktop
3,2025-01-27,5845,183,36,2161.05,Mobile
3,2025-01-28,18133,544,33,8794.99,Mobile
3,2025-01-29,9885,788,98,8902.1,Mobile
3,2025-01-30,12126,428,59,2178.3,Desktop
4,2025-01-01,6517,420,28,3307.92,Tablet
4,2025-01-02,11855,459,78,6461.79,Tablet
4,2025-01-03,15908,470,70,5766.8,Tablet
4,2025-01-04,8934,296,53,3851.11,Tablet
4,2025-01-05,12475,745,89,5647.71,Tablet
4,2025-01-06,10057,524,82,2669.78,Mobile
4,2025-01-07,15995,408,22,7526.21,Mobile
4,2025-01-08,5198,330,45,2556.57,Tablet
4,2025-01-09,18267,491,79,2916.38,Mobile
4,2025-01-10,17871,880,81,10516.78,Desktop
4,2025-01-11,9930,384,75,3369.95,Mobile
4,2025-01-12,13286,301,28,3219.81,Tablet
4,2025-01-13,11273,541,33,8633.18,Tablet
4,2025-01-14,15241,860,112,7838.72,Desktop
4,2025-01-15,13596,1022,172,15667.21,Desktop
4,2025-01-16,18167,892,98,5220.99,Mobile
4,2025-01-17,8453,472,41,5277.51,Tablet
4,2025-01-18,7599,265,20,4902.0,Mobile
4,2025-01-19,16582,1296,173,12624.68,Tablet
4,2025-01-20,6678,179,33,3021.93,Mobile
4,2025-01-21,8279,498,61,2991.59,Tablet
4,2025-01-22,5121,396,33,5067.16,Mobile
4,2025-01-23,19841,744,83,5288.77,Mobile
4,2025-01-24,8732,427,82,5575.8,Tablet
4,2025-01-25,5848,301,44,5070.93,Mobile
4,2025-01-26,14707,456,59,8824.12,Tablet
4,2025-01-27,9119,298,59,5051.88,Tablet
4,2025-01-28,19592,1365,186,13705.91,Mobile
4,2025-01-29,10745,792,97,6263.98,Mobile
4,2025-01-30,11889,652,99,8825.01,Desktop
5,2025-01-01,9531,702,103,4632.19,Desktop
5,2025-01-02,18343,969,69,7327.04,Mobile
5,2025-01-03,7692,369,31,4188.57,Desktop
5,2025-01-04,13901,428,48,2881.72,Tablet
5,2025-01-05,19304,1064,71,7697.66,Tablet
5,2025-01-06,19805,562,90,7309.4,Tablet
5,2025-01-07,6339,500,45,7360.49,Desktop
5,2025-01-08,15691,974,65,15173.7,Mobile
5,2025-01-09,15721,829,84,7549.43,Mobile
5,2025-01-10,14942,663,128,6887.58,Mobile
5,2025-01-11,10025,269,28,4554.95,Tablet
5,2025-01-12,5514,214,35,2502.88,Desktop
5,2025-01-13,12377,952,122,13974.25,Desktop
5,2025-01-14,9710,499,96,4012.11,Mobile
5,2025-01-15,19737,1222,193,22181.42,Desktop
5,2025-01-16,7785,382,74,6112.84,Tablet
5,2025-01-17,19683,1263,69,24448.96,Mobile
5,2025-01-18,19432,1007,163,18909.26,Mobile
5,2025-01-19,8244,558,63,4901.64,Desktop
5,2025-01-20,12870,309,31,2423.98,Mobile
5,2025-01-21,17000,963,117,19151.42,Desktop
